tripinfo_arrival,tripinfo_arrivalLane,tripinfo_arrivalPos,tripinfo_arrivalSpeed,tripinfo_depart,tripinfo_departDelay,tripinfo_departLane,tripinfo_departPos,tripinfo_departSpeed,tripinfo_devices,tripinfo_duration,tripinfo_id,tripinfo_rerouteNo,tripinfo_routeLength,tripinfo_speedFactor,tripinfo_timeLoss,tripinfo_vType,tripinfo_vaporized,tripinfo_waitSteps
111.00,gneE13_0,45.25,13.26,101.00,8.00,-gneE14_0,5.10,0.00,tripinfo_93,10.00,93,0,95.72,1.00,2.92,DEFAULT_VEHTYPE,,0
113.00,-gneE22_0,45.25,13.31,31.00,0.00,gneE19_0,5.10,0.00,tripinfo_31,82.00,31,0,294.90,1.00,60.54,DEFAULT_VEHTYPE,,51
118.00,-gneE22_0,45.25,13.87,96.00,1.00,1/2to1/1_0,5.10,0.00,tripinfo_95,22.00,95,0,240.15,1.00,4.34,DEFAULT_VEHTYPE,,0
140.00,2/0to2/1_0,90.50,6.48,76.00,0.00,-gneE11_0,5.10,0.00,tripinfo_76,64.00,76,0,140.15,1.00,53.83,DEFAULT_VEHTYPE,,37
141.00,gneE9_0,45.25,13.66,21.00,0.00,1/1to1/0_0,5.10,0.00,tripinfo_21,120.00,21,0,428.56,1.00,88.60,DEFAULT_VEHTYPE,,73
142.00,gneE12_0,45.25,13.32,53.00,0.00,gneE22_0,5.10,0.00,tripinfo_53,89.00,53,0,190.40,1.00,74.73,DEFAULT_VEHTYPE,,59
143.00,gneE9_0,45.25,12.83,66.00,0.00,gneE19_0,5.10,0.00,tripinfo_66,77.00,66,0,190.68,1.00,62.49,DEFAULT_VEHTYPE,,42
143.00,-gneE19_0,45.25,13.77,55.00,0.00,-gneE8_0,5.10,0.00,tripinfo_55,88.00,55,0,185.90,1.00,73.88,DEFAULT_VEHTYPE,,54
144.00,1/1to1/2_0,90.50,13.64,65.00,0.00,gneE20_0,5.10,0.00,tripinfo_65,79.00,65,0,235.65,1.00,61.98,DEFAULT_VEHTYPE,,49
144.00,gneE12_0,45.25,13.65,85.00,0.00,gneE22_0,5.10,0.00,tripinfo_85,59.00,85,0,190.40,1.00,45.18,DEFAULT_VEHTYPE,,31
144.00,gneE14_0,45.25,13.70,98.00,6.00,gneE22_0,5.10,0.00,tripinfo_92,46.00,92,0,186.34,1.00,30.94,DEFAULT_VEHTYPE,,20
145.00,1/0to2/0_0,90.50,13.35,46.00,0.00,1/2to0/2_0,5.10,0.00,tripinfo_46,99.00,46,0,487.04,1.00,63.56,DEFAULT_VEHTYPE,,54
145.00,-gneE22_0,45.25,13.01,46.00,2.00,-gneE14_0,5.10,0.00,tripinfo_44,99.00,44,0,185.90,1.00,84.86,DEFAULT_VEHTYPE,,69
146.00,gneE9_0,45.25,12.66,26.00,0.00,gneE22_0,5.10,0.00,tripinfo_26,120.00,26,0,390.40,1.00,91.15,DEFAULT_VEHTYPE,,72
146.00,gneE12_0,45.25,13.69,97.00,7.00,gneE19_0,5.10,0.00,tripinfo_90,49.00,90,0,390.68,1.00,20.04,DEFAULT_VEHTYPE,,1
146.00,-gneE20_0,45.25,12.48,69.00,0.00,-gneE8_0,5.10,0.00,tripinfo_69,77.00,69,0,190.68,1.00,62.84,DEFAULT_VEHTYPE,,38
146.00,gneE5_0,45.25,12.68,52.00,0.00,gneE23_0,5.10,0.00,tripinfo_52,94.00,52,0,186.34,1.00,78.90,DEFAULT_VEHTYPE,,62
147.00,gneE7_0,45.25,13.48,103.00,0.00,gneE23_0,5.10,0.00,tripinfo_103,44.00,103,0,190.68,1.00,29.18,DEFAULT_VEHTYPE,,18
148.00,gneE9_0,45.25,13.34,92.00,1.00,-gneE12_0,5.10,0.00,tripinfo_91,56.00,91,0,285.90,1.00,35.22,DEFAULT_VEHTYPE,,26
148.00,gneE14_0,45.25,12.95,12.00,1.00,gneE20_0,5.10,0.00,tripinfo_11,136.00,11,0,390.68,1.00,107.43,DEFAULT_VEHTYPE,,80
150.00,gneE13_0,45.25,13.53,36.00,1.00,-gneE7_0,5.10,0.00,tripinfo_35,114.00,35,0,290.40,1.00,92.32,DEFAULT_VEHTYPE,,75
